City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,janakkala,60.9,24.6,-7.33,88,100,3.95,FI,1678220343
244,viedma,-40.8135,-62.9967,23.9,28,38,6.51,AR,1678220344
245,aloleng,16.1307,119.7824,22.98,72,6,3.5,PH,1678220346
246,clyde river,70.4692,-68.5914,-14.17,93,60,3.92,CA,1678220347
247,guayaramerin,-10.8368,-65.3614,27.64,83,90,2.11,BO,1678220348
248,mnogovershinnyy,53.9353,139.9242,-18.71,99,85,0.99,RU,1678220350
249,salamiyah,35.0113,37.0532,11.86,68,100,0.69,SY,1678220351
250,trat,12.5,102.5,24.93,92,5,0.37,TH,1678220353
251,korla,41.7597,86.1469,8.32,48,0,1.37,CN,1678220356
252,pevek,69.7008,170.3133,-35.09,97,10,0.64,RU,1678220357
253,souillac,-20.5167,57.5167,25.21,94,75,3.09,MU,1678220358
254,belomorsk,64.5232,34.7668,-17.17,100,97,1.73,RU,1678220360
255,duki,30.1541,68.5728,17.62,35,4,0.28,PK,1678220361
256,nacala,-14.5428,40.6728,24.3,94,100,2.2,MZ,1678220363
257,sao filipe,14.8961,-24.4956,23.65,71,0,1.66,CV,1678220364
258,norman wells,65.282,-126.8329,-20.98,71,0,5.66,CA,1678220367
259,baykit,61.67,96.37,-7.25,88,95,5.07,RU,1678220368
260,carutapera,-1.195,-46.02,25.42,93,100,4.21,BR,1678220370
261,kinna,57.5073,12.6946,-2.76,91,100,6.05,SE,1678220371
262,khanu woralaksaburi,16.0617,99.8606,23.81,42,6,1.79,TH,1678220372
263,sakakah,29.9697,40.2064,17.76,40,69,4.89,SA,1678220374
264,coahuayana,18.7333,-103.6833,30.77,46,48,3.87,MX,1678220375
265,havre-saint-pierre,50.2334,-63.5986,5.2,81,100,6.17,CA,1678220377
266,jilib,0.4883,42.7854,25.02,88,85,3.49,SO,1678220240
267,suez,29.9737,32.5263,15.69,65,38,4.95,EG,1678220379
268,agadir,30.4202,-9.5982,17.25,78,3,1.42,MA,1678220337
269,falmouth,50.1544,-5.0711,7.59,82,100,6.69,GB,1678220382
270,flagstaff,35.1981,-111.6513,11.81,31,0,8.23,US,1678220282
271,bobrov,51.0961,40.0333,0.52,97,100,5.37,RU,1678220384
272,fallon,39.4735,-118.7774,5.93,34,75,2.57,US,1678220385
273,kuandian,40.7286,124.7847,2.54,95,95,1.26,CN,1678220387
274,bella union,-30.2752,-57.6007,34.77,24,54,3.16,UY,1678220388
275,ngorongoro,-3.2397,35.4875,13.47,54,54,1.45,TZ,1678220389
276,jalu,29.0331,21.5482,18.81,26,0,4.72,LY,1678220390
277,fortuna,40.5982,-124.1573,5.52,96,75,5.66,US,1678220393
278,abbeville,50.1,1.8333,4.71,98,100,1.95,FR,1678220394
279,phan thiet,10.9333,108.1,20.72,80,84,2.2,VN,1678220395
280,ouadda,8.0777,22.4007,26.66,37,43,1.72,CF,1678220397
281,leh,34.1667,77.5833,-16.14,71,6,1.43,IN,1678220398
282,cabedelo,-6.9811,-34.8339,29.37,74,100,6.54,BR,1678220399
283,dudinka,69.4058,86.1778,-29.1,94,100,4.3,RU,1678220401
284,acapulco,16.8634,-99.8901,28.9,65,0,6.17,MX,1678219855
285,bathsheba,13.2167,-59.5167,28.34,65,40,7.2,BB,1678220403
286,morondava,-20.2833,44.2833,27.12,75,23,9.71,MG,1678220405
287,kyshtovka,56.555,76.6271,-6.19,95,100,5.3,RU,1678220406
288,atar,20.5169,-13.0499,29.23,11,0,4.42,MR,1678220408
289,port moresby,-9.4431,147.1797,22.68,94,40,4.12,PG,1678220409
290,sistranda,63.7256,8.834,-4.02,38,89,2.26,NO,1678220411
291,troitsko-pechorsk,62.7084,56.1964,-13.08,88,100,2.26,RU,1678220413
292,airai,-8.9266,125.4092,15.07,90,100,0.8,TL,1678220414
293,scarborough,54.2797,-0.4044,0.37,80,80,1.44,GB,1678220415
294,zuwarah,32.9312,12.082,15.6,72,8,4.06,LY,1678220417
295,nong kung si,16.65,103.3,21.98,56,5,2.07,TH,1678220418
296,cachira,7.741,-73.0483,16.91,90,100,0.4,CO,1678220420
297,samoded,63.6083,40.5111,-9.69,99,100,1.72,RU,1678220421
298,acajutla,13.5928,-89.8275,29.88,56,53,5.02,SV,1678220423
299,labuhan,-6.8844,112.2051,24.74,86,100,1.95,ID,1678220425
300,darhan,49.4867,105.9228,-1.77,62,100,3.57,MN,1678220426
301,tarakan,3.3,117.6333,25.86,82,100,4.02,ID,1678220428
302,umea,63.8284,20.2597,-7.83,86,100,3.6,SE,1678220188
303,whitehorse,60.7161,-135.0538,-11.06,72,20,3.09,CA,1678220431
304,kayseri,38.737,35.4968,4.01,52,75,2.06,TR,1678220326
305,anderson,34.5334,-82.6499,27.49,21,0,2.06,US,1678220247
306,severo-kurilsk,50.6789,156.125,0.41,94,100,6.14,RU,1678220435
307,arteaga,18.4667,-102.4167,30.89,24,6,2.39,MX,1678220436
308,kayerkan,69.3497,87.7602,-29.71,75,93,1.67,RU,1678220438
309,nanakuli,21.3906,-158.1547,23.95,50,100,5.14,US,1678220439
310,sechura,-5.5569,-80.8222,27.34,69,100,4.88,PE,1678220441
311,abu samrah,35.3029,37.1841,12.01,66,100,1.7,SY,1678220442
312,vaitape,-16.5167,-151.75,28.0,71,100,6.96,PF,1678220443
313,lerwick,60.1545,-1.1494,-3.0,59,85,7.37,GB,1678220445
314,kazachinskoye,57.6953,93.2761,-5.9,93,88,3.01,RU,1678220446
315,imbituba,-28.24,-48.6703,31.03,67,32,4.08,BR,1678220448
316,la seyne-sur-mer,43.0982,5.8847,11.97,79,100,1.79,FR,1678220449
317,omsukchan,62.5333,155.8,-24.33,98,100,1.63,RU,1678220450
318,luvianos,18.9167,-100.4,30.38,16,2,3.05,MX,1678220451
319,touros,-5.1989,-35.4608,27.86,74,94,6.99,BR,1678220453
320,waingapu,-9.6567,120.2641,25.04,87,97,2.27,ID,1678220454
321,cayenne,4.9333,-52.3333,29.02,70,100,4.12,GF,1678220455
322,iguai,-14.7564,-40.0892,28.44,54,79,4.03,BR,1678220281
323,soe,-9.8607,124.284,18.22,94,93,1.42,ID,1678220459
324,nyurba,63.2842,118.3319,-31.72,99,49,1.94,RU,1678220460
325,tecoanapa,16.5167,-98.75,28.76,60,100,4.59,MX,1678220461
326,port hardy,50.6996,-127.4199,7.1,76,75,6.17,CA,1678220463
327,kupang,-10.1667,123.5833,25.0,86,100,0.88,ID,1678220465
328,rafsanjan,30.4067,55.9939,17.97,37,44,5.26,IR,1678220466
329,zaraza,9.3503,-65.3245,36.89,23,81,2.9,VE,1678220468
330,oktyabrskiy,54.4815,53.471,-5.81,94,100,2.7,RU,1678220469
331,tanabe,33.7333,135.3667,9.44,50,0,1.73,JP,1678220471
332,erenhot,43.6475,111.9767,0.91,46,16,3.45,CN,1678220473
333,xiaoweizhai,26.1903,107.5125,13.99,96,100,0.35,CN,1678220474
334,pangai,-19.8,-174.35,27.06,61,75,4.12,TO,1678220476
335,ust-omchug,61.15,149.6333,-32.12,100,82,0.52,RU,1678220478
336,port macquarie,-31.4333,152.9167,19.94,68,4,1.45,AU,1678220482
337,salinas,36.6777,-121.6555,13.56,53,40,1.54,US,1678220483
338,loa janan,-0.583,117.095,22.43,97,99,0.72,ID,1678220485
339,sidi ali,36.0998,0.4206,13.82,86,11,5.66,DZ,1678220486
340,provideniya,64.3833,-173.3,-9.42,94,100,2.12,RU,1678220488
341,kamaishi,39.2667,141.8833,6.22,85,2,3.24,JP,1678220489
342,xining,36.6167,101.7667,2.03,55,7,0.83,CN,1678220491
343,markala,13.7021,-6.0659,30.45,8,89,4.32,ML,1678220492
344,asosa,10.0667,34.5333,26.19,28,77,0.16,ET,1678220493
345,baruun-urt,46.6806,113.2792,-4.34,52,99,3.45,MN,1678220499
346,fontem,5.4685,9.8818,22.18,82,61,0.42,CM,1678220500
347,derzhavinsk,51.1,66.3167,-3.32,93,100,7.94,KZ,1678220502
348,maniitsoq,65.4167,-52.9,-0.13,79,4,5.97,GL,1678220503
349,port blair,11.6667,92.75,25.88,75,4,3.97,IN,1678220505
350,buraydah,26.326,43.975,23.25,43,100,10.28,SA,1678220207
351,winneba,5.3511,-0.6231,27.82,77,93,3.82,GH,1678220507
352,ondjiva,-17.0667,15.7333,26.02,50,53,1.03,AO,1678220508
353,ailigandi,9.2333,-78.0167,26.93,73,60,4.82,PA,1678220509
354,kisaran,2.9845,99.6158,22.27,97,100,0.92,ID,1678220511
355,lensk,60.7253,114.9278,-14.15,97,100,2.07,RU,1678220514
356,xiuyan,40.2928,123.2744,3.25,90,79,1.75,CN,1678220515
357,north platte,41.1239,-100.7654,-1.6,86,100,3.6,US,1678220516
358,santa elena,-2.2333,-80.85,25.75,94,75,3.09,EC,1678220415
359,guerrero negro,27.9769,-114.0611,16.74,59,57,9.78,MX,1678220519
360,lufilufi,-13.8745,-171.5986,28.88,78,98,8.53,WS,1678220522
361,farmington,36.7281,-108.2187,14.87,9,0,2.24,US,1678220524
362,nybro,56.7446,15.9071,0.58,94,94,4.83,SE,1678220527
363,sao gabriel da cachoeira,-0.1303,-67.0892,28.89,79,20,2.06,BR,1678220528
